body,utc,tt_jd,tdb_minus_tt_s,ra_deg,dec_deg,dist_km
saturn,2024-09-06T12:00:00,2460560.0008007409,-0.001448393,347.791937321,-7.614250240,1295302552.717480
sun,2024-12-05T12:00:00,2460650.0008007409,-0.000804663,252.111431312,-22.417635555,147416658.699105
moon,2024-12-05T12:00:00,2460650.0008007409,-0.000804663,307.322133360,-23.498292588,382456.649476
venus,2024-12-05T12:00:00,2460650.0008007409,-0.000804663,300.212035137,-23.007111461,141016437.230870
mars,2024-12-05T12:00:00,2460650.0008007409,-0.000804663,128.902408979,21.486494547,116314527.712271
jupiter,2024-12-05T12:00:00,2460650.0008007409,-0.000804663,75.115709908,22.052089653,611779656.513681
saturn,2024-12-05T12:00:00,2460650.0008007409,-0.000804663,344.836148920,-8.684148559,1436421793.770072
sun,2025-03-05T12:00:00,2460740.0008007409,0.001408160,346.017144582,-5.979760851,148390403.528473
moon,2025-03-05T12:00:00,2460740.0008007409,0.001408160,56.046478451,24.574137997,370201.177988
venus,2025-03-05T12:00:00,2460740.0008007409,0.001408160,6.447147218,10.883143653,48015645.267274
mars,2025-03-05T12:00:00,2460740.0008007409,0.001408160,109.112363374,25.710895524,134528407.884055
jupiter,2025-03-05T12:00:00,2460740.0008007409,0.001408160,70.882050907,21.887271554,755485118.397694
saturn,2025-03-05T12:00:00,2460740.0008007409,0.001408160,352.390297702,-5.366096356,1585193686.290116
sun,2025-06-03T12:00:00,2460830.0008007409,0.000844896,71.374801635,22.331807140,151740774.153210
moon,2025-06-03T12:00:00,2460830.0008007409,0.000844896,168.026001754,5.796269543,397193.450109
venus,2025-06-03T12:00:00,2460830.0008007409,0.000844896,25.878948050,8.279416608,107527107.825086
mars,2025-06-03T12:00:00,2460830.0008007409,0.000844896,144.881504541,15.496846222,256681773.684827
jupiter,2025-06-03T12:00:00,2460830.0008007409,0.000844896,88.051813904,23.249386430,913460620.343440
saturn,2025-06-03T12:00:00,2460830.0008007409,0.000844896,1.111686162,-1.825826128,1471914961.185117
sun,2025-09-01T12:00:00,2460920.0008007409,-0.001367927,160.560003420,8.209624693,150963999.236206
moon,2025-09-01T12:00:00,2460920.0008007409,-0.001367927,261.639295652,-28.481650528,399468.676562
venus,2025-09-01T12:00:00,2460920.0008007409,-0.001367927,130.256962886,18.460499241,203396740.876969
mars,2025-09-01T12:00:00,2460920.0008007409,-0.001367927,194.725947010,-6.022706748,338777144.110148
jupiter,2025-09-01T12:00:00,2460920.0008007409,-0.001367927,109.073901712,22.246342054,858301033.796614
saturn,2025-09-01T12:00:00,2460920.0008007409,-0.001367927,0.641913577,-2.425383562,1287438183.731003
sun,2025-11-30T12:00:00,2461010.0008007409,-0.000925362,246.420528375,-21.667210316,147536549.704108
moon,2025-11-30T12:00:00,2461010.0008007409,-0.000925362,4.741533762,4.110457800,370171.941399
venus,2025-11-30T12:00:00,2461010.0008007409,-0.000925362,237.165554983,-19.273026584,251512112.889508
mars,2025-11-30T12:00:00,2461010.0008007409,-0.000925362,257.507753320,-23.600778113,362607507.178182
jupiter,2025-11-30T12:00:00,2461010.0008007409,-0.000925362,116.125076317,21.426468307,668248434.893677
saturn,2025-11-30T12:00:00,2461010.0008007409,-0.000925362,356.166549046,-4.241945498,1376214374.015194
sun,2026-02-28T12:00:00,2461100.0008007409,0.001327693,341.105612926,-7.990738152,148191143.891501
moon,2026-02-28T12:00:00,2461100.0008007409,0.001327693,124.807671777,22.847537187,373541.171921
venus,2026-02-28T12:00:00,2461100.0008007409,0.001327693,353.404081286,-4.337989957,248075527.710934
mars,2026-02-28T12:00:00,2461100.0008007409,0.001327693,330.549737541,-13.198249971,350357231.533610
jupiter,2026-02-28T12:00:00,2461100.0008007409,0.001327693,106.215463165,22.945111473,687708810.158070
saturn,2026-02-28T12:00:00,2461100.0008007409,0.001327693,2.042607461,-1.437696096,1557720439.622495
sun,2026-05-29T12:00:00,2461190.0008007409,0.000925362,65.996398370,21.602998358,151615242.346652
moon,2026-05-29T12:00:00,2461190.0008007409,0.000925362,223.372390795,-21.580834278,403968.173317
venus,2026-05-29T12:00:00,2461190.0008007409,0.000925362,103.309068936,24.756722513,190364179.320721
mars,2026-05-29T12:00:00,2461190.0008007409,0.000925362,35.401345240,13.408799664,327554587.806229
